AD,date,reconstructed,data_type_code,century,temp_bin,date_as_date,i,temp_class,id
1093,415,6,Diary,11,>=6 & <9,2022-04-15,20,gte6-and-lt9,75
1095,410,7.4,Poetry,11,>=6 & <9,2022-04-10,15,gte6-and-lt9,76
1096,405,8.6,Diary,11,>=6 & <9,2022-04-05,10,gte6-and-lt9,77
1098,410,7.4,Diary,11,>=6 & <9,2022-04-10,15,gte6-and-lt9,78
1099,413,6.6,Diary,11,>=6 & <9,2022-04-13,18,gte6-and-lt9,79
1102,414,6.3,Diary,12,>=6 & <9,2022-04-14,19,gte6-and-lt9,80
1104,417,5.2,Diary,12,>=3 & <6,2022-04-17,22,gte3-and-lt6,81
1105,424,3.5,Diary,12,>=3 & <6,2022-04-24,29,gte3-and-lt6,82
1107,415,6,Diary,12,>=6 & <9,2022-04-15,20,gte6-and-lt9,83
1111,423,3.8,Diary,12,>=3 & <6,2022-04-23,28,gte3-and-lt6,84
1112,413,6.3,Diary,12,>=6 & <9,2022-04-13,18,gte6-and-lt9,85
1114,410,7.4,Diary,12,>=6 & <9,2022-04-10,15,gte6-and-lt9,86
1117,419,4.9,Diary,12,>=3 & <6,2022-04-19,24,gte3-and-lt6,87
1118,412,6.9,Diary,12,>=6 & <9,2022-04-12,17,gte6-and-lt9,88
1120,413,6.3,Diary,12,>=6 & <9,2022-04-13,18,gte6-and-lt9,89
1123,422,4.1,Diary,12,>=3 & <6,2022-04-22,27,gte3-and-lt6,90
1124,407,8,Diary,12,>=6 & <9,2022-04-07,12,gte6-and-lt9,91
1125,421,4.3,Diary,12,>=3 & <6,2022-04-21,26,gte3-and-lt6,92
1126,418,5.2,Diary,12,>=3 & <6,2022-04-18,23,gte3-and-lt6,93
1127,417,5.4,Diary,12,>=3 & <6,2022-04-17,22,gte3-and-lt6,94
1128,420,4.3,Diary,12,>=3 & <6,2022-04-20,25,gte3-and-lt6,95
1129,416,5.7,Diary,12,>=3 & <6,2022-04-16,21,gte3-and-lt6,96
1130,413,6.6,Diary,12,>=6 & <9,2022-04-13,18,gte6-and-lt9,97
1131,413,6.6,Diary,12,>=6 & <9,2022-04-13,18,gte6-and-lt9,98
1134,416,5.7,Diary,12,>=3 & <6,2022-04-16,21,gte3-and-lt6,99
1139,423,3.8,Diary,12,>=3 & <6,2022-04-23,28,gte3-and-lt6,100
1140,412,6.6,Diary,12,>=6 & <9,2022-04-12,17,gte6-and-lt9,101
1141,421,4.3,Diary,12,>=3 & <6,2022-04-21,26,gte3-and-lt6,102
1143,420,4.6,Diary,12,>=3 & <6,2022-04-20,25,gte3-and-lt6,103
1145,417,5.4,Diary,12,>=3 & <6,2022-04-17,22,gte3-and-lt6,104
1151,419,4.9,Phenology,12,>=3 & <6,2022-04-19,24,gte3-and-lt6,105
1154,406,8.6,Diary,12,>=6 & <9,2022-04-06,11,gte6-and-lt9,106
1156,330,10.5,Diary,12,>=9,2022-03-30,4,gte9,107
1159,413,6.6,Diary,12,>=6 & <9,2022-04-13,18,gte6-and-lt9,108
1161,422,4.1,Diary,12,>=3 & <6,2022-04-22,27,gte3-and-lt6,109
1163,422,4.1,Diary,12,>=3 & <6,2022-04-22,27,gte3-and-lt6,110
1164,409,7.4,Diary,12,>=6 & <9,2022-04-09,14,gte6-and-lt9,111
1165,416,5.7,Diary,12,>=3 & <6,2022-04-16,21,gte3-and-lt6,112
1166,405,8.9,Diary,12,>=6 & <9,2022-04-05,10,gte6-and-lt9,113
1167,421,4.3,Diary,12,>=3 & <6,2022-04-21,26,gte3-and-lt6,114
1169,422,4.1,Diary,12,>=3 & <6,2022-04-22,27,gte3-and-lt6,115
1170,423,3.8,Diary,12,>=3 & <6,2022-04-23,28,gte3-and-lt6,116
1172,412,6.6,Diary,12,>=6 & <9,2022-04-12,17,gte6-and-lt9,117
1173,427,2.7,Diary,12,<3,2022-04-27,32,lt3,118
