Full-flowering date,century,n,mean_temp,temp_bin
417,13,5,5.32,>=3 & <6
417,14,4,5.4,>=3 & <6
417,15,4,5.3500000000000005,>=3 & <6
417,16,5,5.32,>=3 & <6
417,17,4,5.4,>=3 & <6
417,18,4,5.300000000000001,>=3 & <6
417,19,8,5.375,>=3 & <6
417,20,5,5.36,>=3 & <6
418,9,1,5.2,>=3 & <6
418,10,1,5.2,>=3 & <6
418,12,1,5.2,>=3 & <6
418,13,4,5.125,>=3 & <6
418,14,3,5.2,>=3 & <6
418,15,5,5.140000000000001,>=3 & <6
418,16,11,5.090909090909091,>=3 & <6
418,17,7,5.114285714285715,>=3 & <6
418,18,6,5.050000000000001,>=3 & <6
418,19,4,5.125,>=3 & <6
418,20,4,5.125,>=3 & <6
419,9,1,4.9,>=3 & <6
419,10,2,4.9,>=3 & <6
419,12,3,4.9,>=3 & <6
419,13,1,4.6,>=3 & <6
419,14,3,4.8,>=3 & <6
419,15,2,4.9,>=3 & <6
419,16,3,4.9,>=3 & <6
419,17,4,4.825,>=3 & <6
419,18,7,4.814285714285714,>=3 & <6
419,19,8,4.862500000000001,>=3 & <6
419,20,1,4.6,>=3 & <6
420,10,1,4.6,>=3 & <6
420,11,2,4.3,>=3 & <6
420,12,2,4.449999999999999,>=3 & <6
420,13,3,4.6,>=3 & <6
420,14,3,4.6,>=3 & <6
420,15,4,4.449999999999999,>=3 & <6
420,16,4,4.5249999999999995,>=3 & <6
420,17,6,4.55,>=3 & <6
420,18,5,4.6,>=3 & <6
420,19,6,4.5,>=3 & <6
420,20,3,4.3999999999999995,>=3 & <6
421,11,1,4.1,>=3 & <6
421,12,3,4.3,>=3 & <6
421,13,1,4.3,>=3 & <6
421,14,1,4.3,>=3 & <6
421,15,3,4.233333333333333,>=3 & <6
421,16,7,4.3,>=3 & <6
421,17,4,4.199999999999999,>=3 & <6
421,18,2,4.3,>=3 & <6
421,19,4,4.25,>=3 & <6
421,20,1,4.1,>=3 & <6
422,10,2,4.1,>=3 & <6
422,12,7,4.057142857142857,>=3 & <6
422,13,2,4.1,>=3 & <6
422,14,4,4.1,>=3 & <6
422,15,1,4.1,>=3 & <6
422,16,3,4.1,>=3 & <6
422,17,5,4.1,>=3 & <6
422,18,5,4.04,>=3 & <6
422,19,7,3.9285714285714284,>=3 & <6
423,11,2,3.8,>=3 & <6
423,12,4,3.8,>=3 & <6
423,13,1,3.8,>=3 & <6
423,15,3,3.6999999999999997,>=3 & <6
423,16,3,3.6999999999999997,>=3 & <6
423,17,3,3.6,>=3 & <6
423,18,3,3.6999999999999997,>=3 & <6
423,19,2,3.8,>=3 & <6
424,12,2,3.35,>=3 & <6
424,14,1,3.2,>=3 & <6
424,16,2,3.5,>=3 & <6
424,17,3,3.5,>=3 & <6
424,18,1,3.2,>=3 & <6
424,19,4,3.425,>=3 & <6
425,11,1,3.2,>=3 & <6
425,12,1,3.2,>=3 & <6
425,14,1,3.2,>=3 & <6
425,15,1,3.2,>=3 & <6
425,16,2,3.2,>=3 & <6
425,17,1,3.2,>=3 & <6
425,18,2,3.2,>=3 & <6
426,11,2,2.85,<3
426,13,2,3,>=3 & <6
426,14,2,2.85,<3
426,17,1,3,>=3 & <6
426,18,4,2.925,<3
426,19,1,3,>=3 & <6
427,12,1,2.7,<3
427,16,2,2.6,<3
427,17,2,2.6,<3
427,19,1,2.7,<3
428,19,1,2.5,<3
429,11,1,2,<3
429,12,1,2.2,<3
429,16,3,2.1333333333333333,<3
429,18,1,2.2,<3
429,19,1,2,<3
430,13,1,2,<3
430,16,1,2,<3
430,17,1,2,<3
430,18,1,2,<3
430,19,1,2,<3
501,16,1,1.5,<3
501,17,1,1.5,<3
504,14,1,1,<3
